sex,age_10,rate,time_period
남,20대,0.023174489427270295,주말밤
남,30대,0.011889459825337255,주말밤
남,40대,0.010607107803688029,주말밤
남,50대,0.020264781098606296,주말밤
여,20대,0.02031347904835307,주말밤
여,30대,0.016856891006866423,주말밤
여,40대,0.006209887173660243,주말밤
여,50대,0.024218498305523768,주말밤
남,20대,0.015261401557285873,주말아침
남,30대,0.008725811419401064,주말아침
남,40대,0.0077582846003898635,주말아침
남,50대,0.012575117156999252,주말아침
여,20대,0.014586816152529025,주말아침
여,30대,0.003880691304544019,주말아침
여,40대,0.013217955474347079,주말아침
여,50대,0.018773926353027427,주말아침
남,20대,0.05084318690825921,주말오전
남,30대,0.045716712358979374,주말오전
남,40대,0.06402258390513609,주말오전
남,50대,0.0635873927154409,주말오전
여,20대,0.0543294352052957,주말오전
여,30대,0.06586152132406421,주말오전
여,40대,0.06010829287352823,주말오전
여,50대,0.04253708611964374,주말오전
남,20대,0.10929322330740572,주말오후
남,30대,0.11716876301514322,주말오후
남,40대,0.11491729695202697,주말오후
남,50대,0.1279250587195485,주말오후
여,20대,0.11608640537220416,주말오후
여,30대,0.14079988779679248,주말오후
여,40대,0.10446444102871544,주말오후
여,50대,0.10998884435651508,주말오후
남,20대,0.04110500950044888,주말저녁
남,30대,0.04343698166204246,주말저녁
남,40대,0.06790239703611677,주말저녁
남,50대,0.0699993337189308,주말저녁
여,20대,0.05021308620679917,주말저녁
여,30대,0.05714975519010807,주말저녁
여,40대,0.04276108064104254,주말저녁
여,50대,0.0510097414909752,주말저녁
남,20대,0.11071068484722545,주말점심
남,30대,0.08562544178029595,주말점심
남,40대,0.08507159004981575,주말점심
남,50대,0.10449819293417789,주말점심
여,20대,0.0987731662865634,주말점심
여,30대,0.07983642336611756,주말점심
여,40대,0.0986380391325938,주말점심
여,50대,0.09425830446006982,주말점심
남,20대,0.031662795861905985,평일밤
남,30대,0.025685671583751738,평일밤
남,40대,0.02790804405507058,평일밤
남,50대,0.03915084184065593,평일밤
여,20대,0.02406192255320326,평일밤
여,30대,0.030870973428441546,평일밤
여,40대,0.02446270470145331,평일밤
여,50대,0.02277333257016502,평일밤
남,20대,0.06133820681234473,평일아침
남,30대,0.06931029582791258,평일아침
남,40대,0.048589863851249665,평일아침
남,50대,0.07557062227140986,평일아침
여,20대,0.0608743962707613,평일아침
여,30대,0.06581613942094809,평일아침
여,40대,0.06396161219807357,평일아침
여,50대,0.07942672918546127,평일아침
남,20대,0.09090808230824915,평일오전
남,30대,0.09885439733462337,평일오전
남,40대,0.11464473017258721,평일오전
남,50대,0.08155569474097855,평일오전
여,20대,0.07433260127176343,평일오전
여,30대,0.08048991604544516,평일오전
여,40대,0.09992515716754186,평일오전
여,50대,0.08227248622632088,평일오전
남,20대,0.13858981828948458,평일오후
남,30대,0.12488442907058984,평일오후
남,40대,0.12344165924687632,평일오후
남,50대,0.1255741848299826,평일오후
여,20대,0.12867138567364175,평일오후
여,30대,0.12674466206256166,평일오후
여,40대,0.12548980525340916,평일오후
여,50대,0.12607994542539144,평일오후
남,20대,0.1382822404082137,평일저녁
남,30대,0.11373066939038862,평일저녁
남,40대,0.1376215319239224,평일저녁
남,50대,0.1316069128578409,평일저녁
여,20대,0.12142015854289656,평일저녁
여,30대,0.09997504313907025,평일저녁
여,40대,0.1354080775515475,평일저녁
여,50대,0.12170278134211471,평일저녁
남,20대,0.17897610083650126,평일점심
남,30대,0.16936188326368695,평일점심
남,40대,0.17102886641892023,평일점심
남,50대,0.18350559858761964,평일점심
여,20대,0.21730181797075301,평일점심
여,30대,0.15433917946991232,평일점심
여,40대,0.22910267363933431,평일점심
여,50대,0.17549923729185932,평일점심
