order_id,menu_id,quantity,unit_price,from_recommendation
1,9,2,5000,False
2,9,1,5000,False
3,9,1,5000,False
4,9,2,5000,False
5,4,1,5200,False
6,9,2,5000,False
7,1,2,4000,False
7,1,2,4000,False
8,9,2,5000,False
9,6,1,5200,False
10,6,2,5200,False
11,4,1,5200,False
12,9,1,5000,False
13,9,2,5000,False
14,9,2,5000,False
15,9,1,5000,False
16,6,2,5200,True
17,9,1,5000,False
18,9,1,5000,False
19,9,1,5000,False
20,9,2,5000,False
21,4,1,5200,False
22,9,1,5000,False
23,9,2,5000,False
24,6,2,5200,False
25,6,1,5200,False
26,9,1,5000,False
27,1,2,4000,False
28,6,2,5200,False
29,1,2,4000,False
30,6,2,5200,False
31,9,1,5000,False
32,9,1,5000,False
33,9,1,5000,False
34,9,2,5000,True
35,9,2,5000,False
36,9,1,5000,False
37,9,2,5000,False
38,6,2,5200,False
39,9,2,5000,True
40,9,2,5000,False
41,9,1,5000,False
42,9,2,5000,False
43,9,2,5000,False
44,4,1,5200,True
45,9,1,5000,False
46,4,1,5200,False
47,4,2,5200,True
48,9,1,5000,False
49,6,2,5200,False
50,9,2,5000,True
51,9,2,5000,False
52,9,1,5000,False
53,9,1,5000,False
54,9,2,5000,False
55,4,1,5200,False
56,9,1,5000,False
57,9,2,5000,False
58,9,2,5000,False
59,9,2,5000,False
60,1,2,4000,True
61,9,1,5000,False
62,9,2,5000,False
63,9,1,5000,False
64,9,2,5000,False
65,9,1,5000,True
66,9,1,5000,False
67,9,2,5000,False
68,4,2,5200,False
69,9,2,5000,False
70,9,2,5000,False
71,9,1,5000,False
72,6,2,5200,False
73,4,1,5200,False
74,9,2,5000,False
75,9,2,5000,False
76,9,2,5000,True
77,9,1,5000,False
78,9,1,5000,False
79,4,2,5200,False
80,9,1,5000,False
81,9,2,5000,False
82,9,2,5000,False
83,1,1,4000,False
84,9,2,5000,False
85,9,1,5000,False
86,9,2,5000,True
87,9,2,5000,False
88,9,1,5000,False
89,9,2,5000,False
90,9,1,5000,False
91,9,2,5000,False
92,9,1,5000,False
93,9,2,5000,False
94,9,1,5000,False
95,9,2,5000,False
96,9,2,5000,False
97,4,2,5200,False
98,9,1,5000,False
99,9,2,5000,False
100,9,2,5000,False
101,1,1,4000,False
101,1,1,4000,True
102,9,2,5000,False
103,9,1,5000,False
104,6,2,5200,False
105,9,1,5000,False
106,9,2,5000,False
107,6,1,5200,False
108,9,2,5000,False
109,9,2,5000,False
110,4,2,5200,False
111,9,1,5000,False
112,9,2,5000,True
113,9,2,5000,False
114,9,1,5000,False
115,4,2,5200,True
116,9,2,5000,True
117,9,1,5000,False
118,6,2,5200,False
119,9,1,5000,False
120,9,1,5000,False
121,9,2,5000,False
